iter	Passed	Remaining
0	0	84
1	1	75
2	2	70
3	2	65
4	3	65
5	4	65
6	4	65
7	5	64
8	6	63
9	7	63
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	15	56
21	15	56
22	16	55
23	17	55
24	18	55
25	19	54
26	20	55
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
